"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22415-9488","SF","LeBron","LeBron James","James","54.78148057725694","27","12600","ATL@CLE","CLE","ATL","","","",""
"22415-49111","C","Joel","Joel Embiid","Embiid","45.62380836123512","21","10800","PHI@MIN","PHI","MIN","GTD","Back","",""
"22415-66115","PF","Ben","Ben Simmons","Simmons","45.3039990234375","25","10000","PHI@MIN","PHI","MIN","","","",""
"22415-55062","C","Nikola","Nikola Jokic","Jokic","38.900001162574405","21","9800","DEN@DET","DEN","DET","O","Ankle","",""
"22415-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","40.170369466145836","27","9700","PHI@MIN","MIN","PHI","","","",""
"22415-63122","PF","Kristaps","Kristaps Porzingis","Porzingis","40.668182373046875","22","9700","LAL@NY","NY","LAL","","","",""
"22415-12332","PG","John","John Wall","Wall","41.70624923706055","16","9300","WAS@BKN","WAS","BKN","GTD","Knee","",""
"22415-15557","C","Andre","Andre Drummond","Drummond","43.25384521484375","26","9200","DEN@DET","DET","DEN","","","",""
"22415-14528","SF","Jimmy","Jimmy Butler","Butler","37.2039990234375","25","9000","PHI@MIN","MIN","PHI","","","",""
"22415-15595","SG","Bradley","Bradley Beal","Beal","35.703845684344955","26","8600","WAS@BKN","WAS","BKN","","","",""
"22415-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","39.35384662334736","26","8300","SA@DAL","SA","DAL","","","",""
"22415-23120","SF","TJ","TJ Warren","Warren","30.839285714285715","28","8000","PHO@SAC","PHO","SAC","","","",""
"22415-9874","C","Kevin","Kevin Love","Love","35.73076923076923","26","8000","ATL@CLE","CLE","ATL","GTD","Hip","",""
"22415-40201","PG","Dennis","Dennis Schroder","Schroder","34.15833282470703","24","7900","ATL@CLE","ATL","CLE","","","",""
"22415-17333","SG","Will","Will Barton","Barton","30.599999060997597","26","7800","DEN@DET","DEN","DET","","","",""
