"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22846-9646","SF","Kevin","Kevin Durant","Durant","48.18181818181818","33","10400","DEN@GS","GS","DEN","O","Calf","",""
"22846-9524","PG","Stephen","Stephen Curry","Curry","46.15555374710648","27","9800","DEN@GS","GS","DEN","","","",""
"22846-9560","PF","Blake","Blake Griffin","Griffin","40.25","24","9100","ATL@LAC","LAC","ATL","O","Concussion","",""
"22846-55062","C","Nikola","Nikola Jokic","Jokic","38.099998474121094","32","8800","DEN@GS","DEN","GS","","","",""
"22846-9662","SG","Lou","Lou Williams","Williams","32.45675741659628","37","8300","ATL@LAC","LAC","ATL","","","",""
"22846-9561","C","DeAndre","DeAndre Jordan","Jordan","34.16842169510691","38","8300","ATL@LAC","LAC","ATL","","","",""
"22846-15860","PF","Draymond","Draymond Green","Green","36.455882352941174","34","8300","DEN@GS","GS","DEN","","","",""
"22846-40201","PG","Dennis","Dennis Schroder","Schroder","34.19166734483507","36","7400","ATL@LAC","ATL","LAC","","","",""
"22846-9637","SF","Danilo","Danilo Gallinari","Gallinari","23.69090964577415","11","6800","ATL@LAC","LAC","ATL","O","Hip","",""
"22846-14509","SG","Klay","Klay Thompson","Thompson","31.617498779296874","40","6800","DEN@GS","GS","DEN","","","",""
"22846-66108","PG","Jamal","Jamal Murray","Murray","25.67692370292468","39","6800","DEN@GS","DEN","GS","","","",""
"22846-17333","SG","Will","Will Barton","Barton","30.1368408203125","38","6400","DEN@GS","DEN","GS","","","",""
"22846-58461","PF","Trey","Trey Lyles","Lyles","19.079412123736212","34","6400","DEN@GS","DEN","GS","","","",""
"22846-24544","SG","Gary","Gary Harris","Harris","29.39722357855903","36","6300","DEN@GS","DEN","GS","","","",""
"22846-23572","SF","Taurean","Taurean Prince","Prince","25.941025954026443","39","5900","ATL@LAC","ATL","LAC","GTD","Finger","",""
